655	288	3
850	202	4
84	273	4
339	80	3
749	300	4
606	637	3
890	228	4
308	116	4
188	717	4
889	302	4
655	670	3
225	566	4
194	871	2
179	750	1
34	288	2
239	210	4
521	215	1
707	15	4
655	44	2
782	887	4
587	288	4
714	258	4
566	143	3
868	172	5
805	123	4
99	328	4
536	275	5
653	1206	3
459	172	5
6	28	2
180	762	4
347	371	1
264	98	5
484	255	3
579	655	3
197	751	3
20	588	4
692	211	4
328	313	4
296	244	1
844	2	4
664	649	4
7	47	5
559	300	4
666	114	4
870	732	2
94	1010	4
770	331	3
93	934	3
64	591	4
49	1072	1
498	187	4
92	28	3
311	581	3
676	902	4
572	300	4
782	294	3
303	458	3
731	192	5
835	427	4
181	1052	2
805	715	4
94	544	3
391	772	2
896	265	4
223	477	3
262	553	4
562	79	4
774	197	1
83	151	3
389	780	3
253	64	5
7	612	5
96	1	5
671	7	5
537	140	2
666	520	3
276	691	4
648	452	3
868	206	5
158	414	4
621	88	2
318	381	1
774	550	2
409	647	5
751	213	5
181	1150	1
429	291	4
405	77	1
276	461	4
293	196	4
823	42	4
933	627	2
403	928	3
387	845	4
852	260	3
152	780	5
846	659	5
249	298	4
38	257	1
815	132	5
449	248	4
756	245	3
66	121	3
588	68	5
465	651	3
828	1622	1
919	989	2
486	1611	3
7	125	4
378	106	2
554	7	3
665	248	4
327	153	4
194	124	4
363	651	3
99	1119	4
128	213	3
497	472	3
248	186	5
325	1411	4
890	429	4
249	144	4
387	201	5
139	307	4
6	527	4
532	98	5
505	237	3
625	192	2
360	521	5
305	302	4
466	55	4
55	685	1
10	275	4
537	660	3
408	328	2
244	1041	4
678	515	4
99	931	2
654	720	4
342	772	1
385	378	1
546	816	3
910	1025	2
871	237	3
896	50	5
458	250	1
13	301	1
174	871	1
766	378	4
916	593	4
405	650	1
663	258	3
773	403	2
913	430	2
821	560	3
94	1206	3
472	185	5
428	892	4
724	880	3
222	41	3
886	161	5
214	213	4
828	640	2
447	181	5
618	655	4
136	127	5
288	214	2
868	179	4
627	258	4
249	137	4
916	195	3
889	338	1
539	661	5
370	650	5
472	554	5
145	294	4
697	986	1
535	848	3
886	451	3
11	185	4
414	310	4
303	551	2
489	325	5
194	98	4
645	30	4
447	760	4
207	735	4
894	299	3
512	325	2
886	483	4
416	1074	5
125	710	5
